,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
0,Gangplank,34448,55,214,Poppy,2814,56,63,Ekko,64962,54,361,Tristana,55501,51,705,Maokai,79619,51,887,Quinn,23008,50,1274,Khazix,79853,51,747,Katarina,298713,54,204,Karthus,6493,53,409,Rell,10110,53,165,0
1,Garen,84124,49,351,XinZhao,722631,51,873,Katarina,298713,54,204,Ziggs,8965,59,190,Karma,22797,53,197,Darius,153161,56,145,Viego,11398,57,37,Veigar,11278,50,304,Kaisa,56051,51,770,Janna,13005,58,100,0
2,Mordekaiser,6542,50,424,MonkeyKing,12380,50,452,Irelia,137682,52,971,Vayne,145709,54,204,Morgana,43922,53,197,MasterYi,116029,51,703,LeeSin,1064138,51,423,Taliyah,18324,55,216,Draven,196650,59,175,Thresh,83002,51,35,0
3,Trundle,179724,50,957,Belveth,32406,54,152,Katarina,298713,54,204,Sivir,47374,52,374,Renata,25986,53,197,Riven,9328,52,283,Zac,145788,45,128,Vladimir,40928,48,244,Tristana,26292,48,464,Karma,212431,51,494,1
4,Aatrox,34542,51,294,Trundle,47876,58,66,Corki,29649,52,166,Ezreal,69828,54,204,Renata,25986,53,197,Kled,527696,55,141,Zac,20297,59,95,Irelia,868521,-1,-1,Seraphine,4233,-1,-1,Yuumi,27498,53,540,0
5,Kayle,673070,51,770,Jax,247892,52,646,Yone,6196,44,232,Samira,3267,50,101,Renata,6363,43,49,Darius,182216,53,152,Evelynn,1369485,51,1281,Kennen,101662,54,204,Zeri,20282,55,119,Alistar,109598,53,197,0
6,Gnar,10729,48,319,RekSai,222064,45,130,Annie,16999,57,193,Draven,310451,50,758,Lux,134035,50,545,Ekko,549051,52,1041,Warwick,1023872,50,1269,Kennen,101662,54,204,Caitlyn,182812,49,778,Blitzcrank,125738,53,197,0
7,Shen,9168,52,117,FiddleSticks,24792,52,565,Fizz,7596,52,164,Samira,25236,51,803,Blitzcrank,55619,50,393,Sett,86420,52,661,Belveth,6550,55,231,Katarina,298713,54,204,Jinx,89766,53,189,Soraka,39574,53,197,0
8,Ornn,2476,54,605,Khazix,20286,80,20,Diana,112698,54,204,Ezreal,137451,69,13,Taric,15277,53,197,Gnar,777489,52,642,Amumu,11083,52,695,Katarina,1013624,-1,-1,Draven,7590,53,135,Karma,5904,59,34,1
9,Olaf,53613,50,923,Shaco,43534,54,230,Mordekaiser,38973,52,293,Ezreal,153106,47,137,Seraphine,31051,51,711,MonkeyKing,459296,54,413,Darius,76910,47,241,Yasuo,570321,52,542,Twitch,47169,54,204,Janna,19693,53,197,1
10,Irelia,56678,53,396,Qiyana,443074,50,381,Velkoz,90463,54,204,Caitlyn,290290,50,294,Seraphine,17645,53,197,Ornn,40485,52,375,MasterYi,656016,46,221,Mordekaiser,38973,52,293,Sivir,96327,47,137,Swain,31929,51,339,0
11,Gwen,15161,51,1027,MonkeyKing,40056,61,89,Sylas,39183,52,135,MissFortune,61707,53,507,Seraphine,47893,54,155,XinZhao,91241,48,514,Viego,171761,49,695,Katarina,298713,54,204,Sivir,123911,53,312,Taric,15277,53,197,0
12,Kennen,101662,54,204,Zac,40824,51,938,Syndra,5341,49,595,Seraphine,42230,53,544,Senna,19164,53,197,Jax,21478,51,1138,MonkeyKing,2177,51,1062,Malphite,59625,50,947,Pyke,13592,51,104,Lucian,226879,51,956,0
13,Shen,10511,57,86,Zac,21853,51,306,Akshan,307918,55,408,Ezreal,565498,50,692,Bard,136129,50,331,Yasuo,146227,53,76,Sejuani,105035,51,772,Katarina,298713,54,204,Kaisa,448234,49,445,Alistar,109598,53,197,0
