,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
0,Fiora,246094,53,741,Diana,71189,57,422,Kled,3021,55,105,MissFortune,138521,48,141,Taric,68514,51,486,Mordekaiser,1103888,53,191,Khazix,201315,49,383,Talon,20796,50,731,Jhin,4390,57,176,Morgana,102626,48,112,1
1,Fiora,168993,52,294,Lillia,123671,53,741,Qiyana,47593,50,371,Tristana,1667,57,176,Karma,13133,51,232,Ornn,82421,49,241,Ekko,737474,53,339,Cassiopeia,3012,52,767,Vayne,454267,51,222,Renata,46361,51,92,0
2,Mordekaiser,28955,56,305,RekSai,200663,49,158,Zed,40471,45,174,MissFortune,12083,57,176,Karma,13133,51,232,Poppy,3187,50,274,Kayn,831235,53,398,Sylas,25746,52,133,Draven,2742,56,264,Soraka,151596,54,603,1
3,Sett,296801,53,223,FiddleSticks,43098,56,215,Lux,39845,53,301,MissFortune,48462,62,203,Ashe,42768,49,409,Urgot,823019,48,482,Kayn,40135,48,275,Vex,9471,49,89,Sivir,10024,57,176,Seraphine,18055,51,232,1
4,Ornn,80449,51,372,Ekko,15366,63,38,Yone,23871,49,89,Seraphine,43315,47,203,Neeko,94993,52,238,Warwick,126563,50,525,Evelynn,1389424,50,300,Viktor,15878,53,301,MissFortune,12083,57,176,Sona,1614,51,232,1
5,Quinn,1572076,53,455,MasterYi,82406,51,609,Seraphine,37344,50,1066,Jinx,51455,49,714,Lulu,165771,48,423,Aatrox,31810,50,290,Lillia,72243,51,96,Zoe,390678,58,140,MissFortune,12083,57,176,Karma,54693,47,70,0
6,Chogath,68608,54,418,Vi,208348,50,714,Seraphine,21508,53,329,Sivir,10024,57,176,Senna,215642,50,278,Riven,176442,53,166,MasterYi,82406,51,609,Fizz,835621,49,104,Aphelios,28780,49,714,Taliyah,107415,52,218,1
7,Mordekaiser,380735,50,770,Warwick,879366,51,590,Diana,225595,51,90,Lucian,220483,52,614,Braum,110910,48,453,Renekton,62123,53,365,Vi,17096,52,850,Zeri,65962,50,672,Sivir,10024,57,176,Veigar,356588,52,465,0
8,Akali,416266,52,135,Shyvana,63162,50,417,Katarina,41672,55,84,Sivir,10024,57,176,Pantheon,222805,43,111,Aatrox,45652,58,187,Karthus,15135,51,635,Graves,22752,48,120,Twitch,20326,50,1775,Karma,47072,52,632,1
9,Yone,115981,52,199,Warwick,519857,51,638,Katarina,683751,52,218,Senna,358109,50,533,Karma,137,52,391,Ornn,179050,53,457,Gangplank,651331,53,293,FiddleSticks,115226,52,885,Sivir,10024,57,176,Thresh,57544,56,91,0
10,Jax,648212,50,964,Amumu,20815,50,536,Yone,9938,49,438,Ashe,45378,51,232,MissFortune,12083,57,176,Sion,22013,39,31,MonkeyKing,29590,51,376,Ahri,129044,51,218,Vayne,420565,54,392,Poppy,66459,53,91,1
11,Darius,135290,54,461,Belveth,25560,52,445,Velkoz,446523,50,474,Jhin,11550,52,331,Rakan,223616,55,324,Mordekaiser,94160,48,526,Viego,5918,51,712,Veigar,453030,50,240,Ashe,45378,51,232,MissFortune,12083,57,176,0
12,Olaf,90347,57,188,Pantheon,433769,50,1421,Akali,147446,51,59,Jinx,64427,51,801,Lulu,4063,52,677,Mordekaiser,102360,50,325,Nocturne,1034210,52,443,KogMaw,64794,47,230,Seraphine,18055,51,232,MissFortune,12083,57,176,0
13,Camille,42886,48,484,FiddleSticks,246562,54,451,Viktor,57134,49,235,Seraphine,18055,51,232,Senna,26700,57,176,Rengar,300919,52,124,JarvanIV,24871,49,668,Ahri,876271,54,333,Jhin,581358,51,832,Morgana,65182,49,105,0
14,Aatrox,142439,51,1141,Pantheon,187,53,231,Katarina,164882,51,312,Sivir,10024,57,176,Amumu,65767,54,340,Sion,32807,50,788,Nunu,27375,47,350,Zed,854062,53,240,Lucian,4311,53,407,Renata,1172,53,693,0
15,Jax,62777,53,219,Shaco,762353,53,230,Diana,278983,50,632,Sivir,124088,50,507,Ashe,254476,52,446,Kayle,89289,52,267,Hecarim,7102,51,578,Veigar,30639,52,786,MissFortune,12083,57,176,Leona,460984,52,698,0
16,TahmKench,12765,49,195,Olaf,93983,51,250,Swain,26891,53,333,Twitch,21848,51,1305,Leona,22824,48,258,Camille,52859,57,176,Belveth,92848,51,739,Viktor,14526,49,153,Ashe,181634,49,668,Lulu,16212,50,346,1
17,MonkeyKing,395629,48,88,Rengar,50740,64,119,Vex,4637,46,67,Sivir,9995,48,182,Janna,7533,54,78,Irelia,394836,40,105,Kayn,77779,53,343,Akshan,352966,50,857,Caitlyn,4214,57,176,Alistar,22416,58,92,1
18,Volibear,45932,51,59,Udyr,185850,53,425,Akali,96433,47,148,TahmKench,313680,51,171,Senna,48526,50,104,Rengar,3288,49,81,Diana,15793,49,95,Katarina,614285,56,66,Sivir,10024,57,176,Morgana,856021,51,655,0
19,Urgot,4208,48,337,Shyvana,140316,45,195,Akali,150553,52,307,MissFortune,12083,57,176,Soraka,40194,49,349,DrMundo,18641,52,487,Graves,53314,51,177,Katarina,614285,56,66,Samira,55046,54,489,Rell,3103,52,481,1
20,Lillia,6758,53,317,Vi,286140,49,586,Irelia,625612,51,337,Jinx,2915353,50,558,Nami,416616,50,259,Darius,474017,53,214,Kayn,219269,50,1066,Ahri,27621,50,448,Sivir,10024,57,176,Rell,55156,50,1072,0
21,Yorick,306415,53,662,Jax,34530,50,693,Heimerdinger,7712,-1,-1,MissFortune,12083,57,176,Taric,14503,51,726,Rumble,52259,52,379,Illaoi,473759,51,1062,Nocturne,749476,51,695,Lucian,12981,52,162,Senna,22407,55,96,0
22,Garen,68272,60,96,Ekko,178131,53,140,Swain,24269,50,671,MissFortune,202814,51,1100,Lux,1220693,51,637,Gangplank,93779,50,314,Shaco,302537,56,87,Orianna,16266,57,176,Ezreal,358189,48,240,Bard,439835,52,1615,1
23,Olaf,241277,51,47,Zac,543,50,229,Viktor,23039,57,267,Aphelios,84313,52,132,Karma,54547,57,176,Sett,387662,50,379,Lillia,83718,53,362,Ashe,556602,50,203,Caitlyn,351752,50,272,Shen,196525,50,840,0
24,Gwen,31147,51,537,Nunu,78779,53,357,Yasuo,312353,54,70,Blitzcrank,125907,49,507,Senna,137335,51,496,Malphite,51097,53,180,Kindred,804093,52,496,Akali,132801,50,191,Sivir,54118,50,38,Karma,54547,57,176,0
25,Darius,64186,53,718,Diana,267777,50,967,Varus,5871,49,475,Jhin,695747,54,345,Janna,85077,50,521,Riven,488096,51,919,Shaco,233776,51,789,Qiyana,174989,52,1007,Kaisa,83433,57,176,Lux,14081,54,79,1
26,Aatrox,30478,-1,-1,Volibear,9126,52,450,Annie,1897,54,506,Jinx,57733,51,532,Renata,3799,53,120,Olaf,35623,47,305,Rengar,1522981,51,622,Heimerdinger,559637,53,372,Caitlyn,4214,57,176,Ashe,64951,50,949,0
27,Maokai,388809,50,1378,Zac,58655,49,232,Cassiopeia,55351,58,158,Sivir,10024,57,176,Ashe,60251,56,162,Vladimir,85932,53,400,Kayn,110426,51,210,Ekko,817271,51,1020,MissFortune,1642,54,461,Seraphine,59902,57,404,1
28,Volibear,31929,49,333,Khazix,275430,50,682,Irelia,232515,51,497,Sivir,106589,51,95,Maokai,8254,49,153,Mordekaiser,28796,50,218,Kayn,24201,45,500,Akshan,170490,51,883,Jhin,81946,48,181,Karma,54547,57,176,1
29,MonkeyKing,8412,47,213,Pantheon,8838,50,481,Varus,45736,54,153,KogMaw,328809,51,808,Lulu,115246,51,599,Ornn,12206,48,526,Khazix,92321,51,357,Viktor,392258,51,816,Sivir,16485,51,232,Renata,5686,57,176,0
30,Aatrox,292319,50,629,Volibear,5344,57,303,Akali,6271,49,634,Sivir,16485,51,232,Karma,54547,57,176,Warwick,58597,51,427,LeeSin,7104,52,824,Cassiopeia,30246,49,136,Twitch,67870,50,771,Lulu,4445,55,56,1
31,Mordekaiser,4590,52,237,Shen,5157,56,211,Viktor,40091,57,108,Caitlyn,57371,49,146,Poppy,1576969,50,615,Teemo,314989,51,297,JarvanIV,24103,50,854,Tristana,12307,50,106,Sivir,16485,51,232,Karma,54547,57,176,0
32,Camille,52859,57,176,FiddleSticks,203616,52,1585,Lissandra,465750,54,621,Ezreal,96487,49,276,Sona,34186,50,702,Skarner,1684574,52,955,Hecarim,16652,52,298,Vladimir,33315,52,607,Draven,44484,54,135,Blitzcrank,13908,48,182,1
33,Amumu,15693,52,215,MasterYi,21108,53,222,Zac,797586,51,538,MissFortune,18300,50,146,Rell,9817,50,694,Lillia,73529,51,1729,Rengar,475167,53,806,Zed,650505,50,253,Ashe,16496,57,176,Pyke,2650392,51,1300,1
34,Renekton,14840,0,12,Viego,7488,65,54,Xerath,385066,49,61,Lucian,3201,53,232,Seraphine,12314,54,37,Akali,2531,-1,-1,Graves,31458,-1,-1,Irelia,6924,67,15,Sivir,10024,57,176,Pyke,12078,38,13,1
35,Mordekaiser,16519,51,602,Graves,596876,48,272,Kassadin,59194,53,205,Sivir,10024,57,176,Renata,8031,48,1165,Kled,260192,52,570,Trundle,78498,48,255,Akali,105027,53,331,Kaisa,76527,53,636,Seraphine,5742,51,524,1
36,Viego,23317,53,560,RekSai,896932,47,122,Viktor,24764,56,139,Ezreal,45871,56,280,Karma,54547,57,176,Fiora,29322,52,469,Hecarim,13587,49,677,Zed,170016,50,621,Lucian,215957,50,368,Nami,1311644,47,328,1
37,Sett,17964,53,249,RekSai,892000,52,631,TwistedFate,3453,50,632,Xayah,319959,51,737,Amumu,111488,51,1002,Volibear,279797,50,589,Belveth,32036,50,1263,Taliyah,3432,57,176,Nilah,18947,51,487,Morgana,3281,52,122,0
38,Sion,52781,-1,-1,Diana,96808,50,549,Qiyana,21444,54,356,Heimerdinger,70941,47,333,Senna,160535,52,417,Jayce,73284,53,212,Lillia,25234,52,608,Quinn,18443,50,1614,Jhin,175657,58,117,Brand,13789,57,176,1
39,Darius,95609,47,485,Evelynn,581226,54,743,Yasuo,16180,50,263,Nilah,11213,49,1129,Soraka,266039,50,1806,Gnar,499903,-1,-1,Belveth,133096,51,1178,Sylas,95285,53,234,Ezreal,89749,49,277,Karma,54547,57,176,1
40,Jax,4743,50,431,Evelynn,51005,51,960,Qiyana,111495,48,570,Ezreal,493128,51,333,Shen,77999,56,70,Lillia,112598,49,413,Rengar,562942,50,374,Irelia,53910,47,287,Sivir,16485,51,232,Karma,54547,57,176,0
41,Rumble,415826,48,233,JarvanIV,1477,50,288,Corki,459597,49,799,Ezreal,157645,47,219,Lux,466590,51,1282,Poppy,127675,54,263,Maokai,20639,48,562,Xerath,17451,48,165,Sivir,16485,51,232,Karma,54547,57,176,0
42,Gangplank,19370,51,87,Belveth,61012,49,681,Akali,52741,52,185,Jhin,540271,49,822,Leona,235602,50,1063,Mordekaiser,8759,51,319,LeeSin,159102,51,401,Ahri,698938,55,245,Nilah,1516,53,340,Senna,26700,57,176,1
