,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
0,Urgot,259,303909,0.67,0.0,2.6,2.0,18.0,Elise,55,4142,0.4,0.5,2.5,2.0,15.0,Morgana,654,94777,0.63,0.0,2.0,1.0,35.0,Sivir,331,4991,0.53,0.44,1.53,9.0,855.0,Nami,228,372584,0.37,0.46,2.89,37.0,38.0,Sejuani,Khazix,Swain,Lucian,Soraka,0
1,Fiora,360,1479011,0.52,0.55,2.03,192.0,269.0,Belveth,804,34108,0.51,0.44,2.03,36.0,625.0,Lissandra,370,89791,0.52,0.51,3.08,61.0,690.0,Kaisa,446,84167,0.53,0.63,2.34,8.0,60.0,Zilean,596,737561,0.49,0.48,4.88,190.0,300.0,Darius,Elise,Sylas,Twitch,Renata,1
2,Fiora,85,74359,0.53,0.6,1.45,75.0,373.0,Sion,566,178952,0.5,0.49,2.05,33.0,385.0,Zeri,165,17938,0.51,0.52,2.57,27.0,541.0,Ziggs,433,43521,0.52,0.6,2.21,50.0,774.0,Janna,401,29808,0.52,0.52,3.82,21.0,376.0,Mordekaiser,Lillia,Zoe,Twitch,Yuumi,1
3,Singed,62,59243,0.59,0.65,4.41,81.0,193.0,Zac,334,1512,0.59,0.0,2.5,1.0,32.0,Zed,539,1298526,0.49,0.56,3.71,68.0,559.0,Lucian,110,20764,0.55,0.57,2.77,21.0,318.0,Alistar,112,4709,0.54,0.67,1.22,3.0,54.0,Gangplank,Nunu,Azir,Vayne,Pyke,1
4,Garen,421,984891,0.51,0.53,1.89,550.0,690.0,Kayn,267,128358,0.47,0.57,2.08,7.0,324.0,Zeri,48,5515,0.51,0.31,2.96,13.0,218.0,Lucian,44,13135,0.38,0.37,1.44,30.0,37.0,Karma,164,16636,0.52,0.6,2.81,5.0,426.0,DrMundo,Pantheon,Sylas,Aphelios,Zilean,0
5,Sett,394,44438,0.51,0.3,1.51,10.0,875.0,Mordekaiser,459,3414,0.51,0.5,2.29,2.0,857.0,Yone,503,65553,0.52,0.52,1.77,21.0,468.0,Zeri,140,23389,0.57,0.55,2.34,38.0,214.0,Renata,680,14851,0.53,0.56,2.53,16.0,332.0,Singed,Hecarim,Leblanc,Caitlyn,Bard,0
6,Yone,267,50610,0.5,0.37,1.83,35.0,919.0,Evelynn,321,907425,0.53,0.58,2.9,314.0,364.0,Ahri,395,250701,0.53,0.44,2.87,55.0,456.0,Twitch,293,77814,0.51,0.52,1.96,60.0,563.0,Renata,680,14851,0.53,0.56,2.53,16.0,332.0,MonkeyKing,Belveth,Sylas,Draven,Zoe,1
7,Illaoi,81,7739,0.57,0.73,2.3,11.0,160.0,MonkeyKing,43,2877,0.53,0.17,2.24,6.0,132.0,Kayle,569,64112,0.49,0.42,1.32,12.0,925.0,Yasuo,611,838745,0.47,0.5,3.01,90.0,168.0,Taric,164,37300,0.39,0.48,3.2,27.0,56.0,Kled,Vi,Swain,Aphelios,Renata,0
8,Irelia,84,15622,0.52,0.6,1.49,10.0,478.0,Ekko,367,1226297,0.51,0.52,3.33,879.0,997.0,Swain,719,20602,0.53,0.32,2.08,19.0,427.0,Jhin,109,142546,0.48,0.5,2.3,234.0,430.0,Renata,678,14851,0.53,0.56,2.53,16.0,332.0,Malphite,Karthus,Ziggs,Caitlyn,Yuumi,0
9,Ornn,401,27217,0.51,0.5,1.18,6.0,383.0,Nocturne,88,25895,0.58,0.61,3.35,18.0,244.0,Akali,542,68707,0.5,0.41,2.55,68.0,698.0,KogMaw,311,60965,0.53,0.59,3.08,22.0,374.0,Lulu,542,166008,0.5,0.53,3.84,40.0,957.0,Veigar,Trundle,Vladimir,Sivir,Renata,0
10,Ryze,139,164246,0.51,0.43,2.1,315.0,1051.0,Volibear,59,52044,0.54,0.55,3.32,31.0,156.0,Viktor,689,114116,0.51,0.62,2.19,81.0,606.0,Caitlyn,476,269638,0.51,0.52,3.11,187.0,1263.0,Taric,778,14575,-1.0,0.0,0.0,0.0,-1.0,Mordekaiser,LeeSin,Corki,Kaisa,Zilean,0
11,Jax,155,234306,0.52,0.57,1.57,92.0,172.0,Pantheon,77,33471,0.48,0.0,1.63,2.0,100.0,Zeri,61,190102,0.47,0.51,2.59,255.0,355.0,Ziggs,254,7221,0.55,0.33,2.28,3.0,91.0,Rakan,45,11441,0.51,0.4,4.05,20.0,134.0,Darius,Kindred,Sylas,Jhin,Zilean,0
12,Yorick,64,306266,0.54,0.54,2.27,329.0,342.0,Karthus,55,6689,0.53,0.5,2.77,12.0,368.0,Galio,366,137112,0.49,0.7,3.09,23.0,589.0,Kaisa,336,383069,0.51,0.5,3.22,140.0,828.0,Leona,252,576879,0.52,0.49,2.21,83.0,438.0,Viktor,MasterYi,Darius,Jinx,Renata,1
13,Teemo,221,51615,0.54,0.6,1.63,15.0,507.0,Hecarim,593,124894,0.58,0.63,3.33,132.0,209.0,Sylas,349,177387,0.52,0.56,1.81,16.0,417.0,Kindred,48,6475,0.49,0.67,2.23,6.0,181.0,Pyke,667,174449,0.53,0.59,2.01,34.0,332.0,Gwen,FiddleSticks,Zed,Ezreal,Shaco,0
14,Trundle,221,70895,0.49,0.51,1.84,100.0,217.0,MasterYi,545,579193,0.51,0.54,2.1,152.0,375.0,Gnar,172,796282,0.52,0.54,2.34,549.0,669.0,Zeri,454,249053,0.5,0.51,1.97,444.0,672.0,Blitzcrank,59,86223,0.49,0.5,2.8,139.0,241.0,Sion,Kindred,Heimerdinger,Jhin,Brand,1
15,Malphite,471,215580,0.53,0.56,2.04,25.0,376.0,Shyvana,495,59807,0.5,0.48,3.85,23.0,646.0,Heimerdinger,580,152111,-1.0,0.0,0.0,0.0,-1.0,Kalista,449,264405,0.51,0.6,3.09,15.0,339.0,Nautilus,71,1381,0.55,0.33,3.5,3.0,94.0,Lillia,Trundle,Viktor,Kaisa,Zilean,0
16,Gnar,389,31164,0.52,0.67,2.61,3.0,215.0,Elise,395,38405,0.48,0.5,3.11,6.0,289.0,Viktor,496,14654,0.5,0.44,2.73,25.0,949.0,Jinx,67,14081,0.51,0.52,1.99,23.0,254.0,Seraphine,184,13268,0.54,0.4,3.45,5.0,208.0,Kalista,Shaco,Akali,Swain,Renata,0
17,Jax,531,196608,0.52,0.5,1.44,12.0,161.0,LeeSin,500,257648,0.5,0.47,1.93,17.0,597.0,Kassadin,49,42944,0.52,0.5,2.95,76.0,228.0,Jhin,99,142546,0.48,0.5,2.3,234.0,430.0,Yuumi,226,89804,0.48,0.43,4.8,68.0,477.0,MonkeyKing,Twitch,Ahri,Garen,Renata,0
